segment,selected_model,selected_metric,selected_metric_value,selected_RMSE,MAE,RMSE,MAPE_pct,sMAPE_pct,sMAPE
valley,chronos_xgb_residual,sMAPE,0.841656039504167,65.28405657704592,32.37949873097552,65.28405657704592,4.617171618821934e+17,22.095562524022533,0.841656039504167
flat,chronos_xgb_residual,sMAPE,0.7925885904762369,103.67918058438798,54.63031091856025,103.67918058438798,3.64368730846217e+17,26.327489869136322,0.7925885904762369
peak,chronos_xgb_residual,sMAPE,0.6921914633137909,83.97359897741885,52.39939706140405,83.97359897741885,6.02096251283128e+17,44.482786065079225,0.6921914633137909
