target,scheme,segment,feature,importance_mean,importance_rank,source_file,feature_family
day_ahead_price,chronos_xgb_residual_xgb_part,global,dayofweek,0.0081345727667212,15,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_672,0.0077403089962899,16,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,global,diff_96,0.007163138128817,17,feature_importance_day_ahead_price.csv,diff
day_ahead_price,chronos_xgb_residual_xgb_part,global,hour,0.0063553554937243,18,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_std_96,0.0061627784743905,19,feature_importance_day_ahead_price.csv,roll_std
day_ahead_price,chronos_xgb_residual_xgb_part,global,cos_slot96,0.0047330623492598,20,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,global,before_holiday_1d,0.0047168461605906,21,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_holiday,0.0030585527420043,22,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,global,after_holiday_1d,0.0,23,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Dragon Boat Festival,0.0,24,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Labour Day,0.0,25,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Mid-autumn Festival,0.0,26,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_New Year's Day,0.0,27,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_None,0.0,28,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Spring Festival,0.0,29,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Tomb-sweeping Day,0.0,30,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_makeup_workday,0.0,31,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_weekend,0.0,32,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_workday,0.0,33,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_1,0.5422860980033875,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_4,0.211174339056015,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_National Day,0.0337289571762084,3,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_2,0.024486307054758,4,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,peak,sin_slot96,0.0187381450086832,5,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_4,0.0154891647398471,6,feature_importance_day_ahead_price.csv,lag
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_16,0.0152676226571202,7,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,chronos_xgb_residual_xgb_part,peak,diff_1,0.014154003933072,8,feature_importance_day_ahead_price.csv,diff
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_96,0.013660573400557,9,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,chronos_xgb_residual_xgb_part,peak,hour,0.0125044090673327,10,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,slot96,0.0112007241696119,11,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,chronos_xgb_residual_xgb_part,peak,before_holiday_1d,0.0110205207020044,12,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_672,0.0109263323247432,13,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_672,0.0108926631510257,14,feature_importance_day_ahead_price.csv,lag
