index,target,scheme,segment,feature,feature_family,importance_mean,importance_std,importance_median,retrain_count,importance_cv
288,day_ahead_price,xgb_oof_train,flat,lag_96,lag,0.018721226513242446,0.006797252472755292,0.017124902456998797,52,0.3630773052154067
227,day_ahead_price,xgb_only,peak,roll_mean_96,roll_mean,0.0186472982168197,0.0,0.0186472982168197,1,0.0
25,day_ahead_price,chronos_xgb_residual_xgb_part,flat,minute,calendar_time,0.0181723218411207,0.0,0.0181723218411207,1,0.0
329,day_ahead_price,xgb_oof_train,global,slot96,calendar_time,0.017870564819671732,0.0062978332593735635,0.017988267354667152,52,0.35241377779178945
54,day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_2,lag,0.0176899470388889,0.0,0.0176899470388889,1,0.0
189,day_ahead_price,xgb_only,global,lag_96,lag,0.0172648150473833,0.0,0.0172648150473833,1,0.0
131,day_ahead_price,chronos_xgb_residual_xgb_part,valley,slot96,calendar_time,0.0168106779456138,0.0,0.0168106779456138,1,0.0
31,day_ahead_price,chronos_xgb_residual_xgb_part,flat,sin_slot96,calendar_time,0.0166992489248514,0.0,0.0166992489248514,1,0.0
14,day_ahead_price,chronos_xgb_residual_xgb_part,flat,hour,calendar_time,0.0165943950414657,0.0,0.0165943950414657,1,0.0
302,day_ahead_price,xgb_oof_train,global,diff_96,diff,0.016398358176677227,0.005028606318983566,0.014964240603148899,52,0.3066530359201182
103,day_ahead_price,chronos_xgb_residual_xgb_part,valley,diff_1,diff,0.0162774957716465,0.0,0.0162774957716465,1,0.0
287,day_ahead_price,xgb_oof_train,flat,lag_672,lag,0.015874926672460314,0.005536295041963387,0.01517488202080125,52,0.34874460564077464
361,day_ahead_price,xgb_oof_train,peak,sin_slot96,calendar_time,0.015811573109553643,0.010282014812982779,0.0156109104864299,52,0.6502841141575089
4,day_ahead_price,chronos_xgb_residual_xgb_part,flat,diff_1,diff,0.0157384760677814,0.0,0.0157384760677814,1,0.0
113,day_ahead_price,chronos_xgb_residual_xgb_part,valley,hour,calendar_time,0.0156254228204488,0.0,0.0156254228204488,1,0.0
136,day_ahead_price,xgb_only,flat,diff_1,diff,0.0156235238537192,0.0,0.0156235238537192,1,0.0
261,day_ahead_price,xgb_only,valley,roll_std_96,roll_std,0.0155741712078452,0.0,0.0155741712078452,1,0.0
