target,scheme,segment,model_scope,retrain_time,event_type,feature,importance,source_file,feature_family
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_4,0.0069647142663598,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_96,0.0142033696174621,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_192,0.0111743519082665,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_672,0.013473373837769,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.2882071137428283,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.0096786441281437,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.0047342018224298,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.0064534256234765,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_std_96,0.0155741712078452,feature_importance_detail_day_ahead_price.csv,roll_std
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,diff_1,0.0147236548364162,feature_importance_detail_day_ahead_price.csv,diff
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,diff_96,0.0086269620805978,feature_importance_detail_day_ahead_price.csv,diff
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,hour,0.0087895253673195,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,minute,0.0129078375175595,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,dayofweek,0.0036300593055784,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,slot96,0.0152731630951166,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,sin_slot96,0.0083537632599473,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,cos_slot96,0.0080159027129411,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_holiday,0.0040728887543082,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_workday,0.0024376835208386,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_weekend,0.0,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_makeup_workday,0.0,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,before_holiday_1d,0.0151710854843258,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,after_holiday_1d,0.0020216896664351,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Dragon Boat Festival,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Labour Day,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Mid-autumn Festival,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_National Day,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_New Year's Day,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_None,0.0027821483090519,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Spring Festival,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Tomb-sweeping Day,0.0,feature_importance_detail_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_1,0.5206059813499451,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_2,0.020443545654416,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_4,0.0070334626361727,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_96,0.0275750085711479,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_192,0.0064709745347499,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_672,0.0137277953326702,feature_importance_detail_day_ahead_price.csv,lag
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.2158152014017105,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.01210143789649,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.0096282484009861,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.0110532315447926,feature_importance_detail_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_std_96,0.0057943318970501,feature_importance_detail_day_ahead_price.csv,roll_std
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,diff_1,0.0156235238537192,feature_importance_detail_day_ahead_price.csv,diff
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,diff_96,0.011750116944313,feature_importance_detail_day_ahead_price.csv,diff
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,hour,0.0129246786236763,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,minute,0.0189226772636175,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,dayofweek,0.0152213498950004,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,slot96,0.0102807572111487,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,sin_slot96,0.043194942176342,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,cos_slot96,0.0085299499332904,feature_importance_detail_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_holiday,0.012641517445445,feature_importance_detail_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_workday,0.0,feature_importance_detail_day_ahead_price.csv,holiday_binary
