target,feature_family,importance_mean,family_share_pct
day_ahead_price,lag,0.09109624068713673,43.931039275667224
day_ahead_price,roll_mean,0.07910009301019431,38.14591322900175
day_ahead_price,diff,0.013211545851775574,6.371250178149077
day_ahead_price,calendar_time,0.011383661367767589,5.4897553496838185
day_ahead_price,roll_std,0.008810139147755774,4.2486777281337815
day_ahead_price,holiday_binary,0.0026594943052550783,1.2825375437701434
day_ahead_price,holiday_name,0.0011007323574015943,0.5308266955942056
real_time_price,roll_mean,0.08362468533111188,39.65156707289466
real_time_price,lag,0.0626002796324871,29.68261317577767
real_time_price,diff,0.01504158637283412,7.132134113074818
real_time_price,roll_std,0.013752807536944451,6.521045410605354
real_time_price,holiday_name,0.013394674037400354,6.351232460972167
real_time_price,calendar_time,0.013241149631436558,6.278437170247947
real_time_price,holiday_binary,0.009243633076794799,4.382970596427393
spread_day_ahead_price,holiday_binary,0.10352403283869682,35.80445130654061
spread_day_ahead_price,roll_mean,0.04870626256633404,16.845373567479747
spread_day_ahead_price,roll_std,0.0413823109300969,14.312337879624563
spread_day_ahead_price,lag,0.03474410268716196,12.01647094631864
spread_day_ahead_price,calendar_time,0.03434110075705546,11.87709014181093
spread_day_ahead_price,diff,0.02643951550005515,9.144276158225512
spread_real_time_price,roll_mean,0.09288598938848229,26.646929490636108
spread_real_time_price,roll_std,0.07658700301289954,21.971111925701532
spread_real_time_price,lag,0.0602089277741433,17.272605520670044
spread_real_time_price,calendar_time,0.045340674213582136,13.007233456642703
spread_real_time_price,holiday_binary,0.04026051696879089,11.549849056750826
spread_real_time_price,diff,0.033297348620137966,9.552270549598797
