target,scheme,segment,feature,importance_mean,importance_rank,source_file,feature_family
day_ahead_price,xgb_only,flat,hour,0.0129246786236763,10,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,global,lag_1,0.559650182723999,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,global,roll_mean_4,0.2639661431312561,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,global,lag_96,0.0172648150473833,3,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,global,diff_1,0.0129778729751706,4,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_only,global,minute,0.0119770215824246,5,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,global,sin_slot96,0.0113135809078812,6,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,global,lag_2,0.0112832775339484,7,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,global,is_holiday,0.0112338783219456,8,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,global,diff_96,0.0110406698659062,9,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_only,global,lag_672,0.0109831001609563,10,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,peak,lag_1,0.4045158922672272,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,peak,roll_mean_4,0.3739922642707824,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,peak,sin_slot96,0.0232683680951595,3,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,peak,roll_mean_96,0.0186472982168197,4,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,peak,lag_2,0.0152125898748636,5,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,peak,holiday_name_National Day,0.0151606258004903,6,feature_importance_day_ahead_price.csv,holiday_name
day_ahead_price,xgb_only,peak,diff_1,0.0139250187203288,7,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_only,peak,roll_mean_16,0.0138023449108004,8,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,peak,hour,0.0126795843243598,9,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,peak,slot96,0.012547243386507,10,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,lag_1,0.4795839488506317,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,roll_mean_4,0.2882071137428283,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_only,valley,lag_2,0.0431463941931724,3,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,roll_std_96,0.0155741712078452,4,feature_importance_day_ahead_price.csv,roll_std
day_ahead_price,xgb_only,valley,slot96,0.0152731630951166,5,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_only,valley,before_holiday_1d,0.0151710854843258,6,feature_importance_day_ahead_price.csv,holiday_binary
day_ahead_price,xgb_only,valley,diff_1,0.0147236548364162,7,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_only,valley,lag_96,0.0142033696174621,8,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,lag_672,0.013473373837769,9,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_only,valley,minute,0.0129078375175595,10,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,flat,lag_1,0.4561013736977027,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,flat,roll_mean_4,0.1466440764757303,2,feature_importance_day_ahead_price.csv,roll_mean
