model,MAE,RMSE,MAPE_pct,sMAPE_pct,sMAPE
chronos_xgb_residual,46.712301710231884,86.86921499309712,4.577985569856505e+17,30.31497945356672,0.7792914858737245
hybrid_segment_best_smape,46.836852100727015,87.94876424268335,4.797231060848693e+17,30.532389287410922,0.7800829002070071
xgb_chronos_residual,47.038892602131945,86.77814983115353,4.630405164564484e+17,31.54618188320456,0.7762919940933763
xgb_only,47.51242394553962,87.37235840907772,4.808631953283148e+17,31.94460646649371,0.7733880096237937
chronos_only,89.54555323074605,145.69971871810523,6.750614427864769e+17,48.20753979601144,0.677423339855423
