result_dir,target,best_model,MAE,RMSE,MAPE_pct,sMAPE_pct,sMAPE
results,day_ahead_price,hybrid_segment_best_mae,19.669682232894058,40.91213563732527,9.056699183442605e+16,11.781909220527012,0.9031864007848132
results_smape_patch_smoke,day_ahead_price,xgb_chronos_residual,18.94865013599396,21.81057842140916,7.49365326471639,7.124548459477131,0.925063467352836
results_smoke,day_ahead_price,hybrid_segment_best_mae,89.21079010883966,133.96588931771646,263.2905022435006,59.46022795896021,
results_smoke2,day_ahead_price,xgb_chronos_residual,35.820472870543604,37.48203446821886,15.063947145578588,13.880882462062305,
results_smoke_strict2,day_ahead_price,hybrid_segment_best_mae,89.21079010883966,133.96588931771646,263.2905022435006,59.46022795896021,
results_smoke_walk2,day_ahead_price,hybrid_segment_best_mae,20.778498386281232,37.02836237249575,67.05540828280259,42.95863990984497,
results,real_time_price,chronos_xgb_residual,46.45526716376544,86.76120600240856,4.615225899901968e+17,30.06135977108213,0.7803340235574655
results_rt_tune_smoke,real_time_price,chronos_xgb_residual,61.162456522782655,97.99170590776004,8.491784299260589e+17,54.61196639661126,0.588061343216582
results_rt_tuned,real_time_price,chronos_xgb_residual,46.56269031436144,86.65096989302187,4.661554013189749e+17,30.212142144581737,0.7796619113965002
results_rt_tuned_aggr,real_time_price,chronos_xgb_residual,46.71230171023189,86.86921499309712,4.577985569856505e+17,30.31497945356672,0.7792914858737245
results_smoke2,real_time_price,xgb_chronos_residual,91.63272603034974,132.43543119115787,1.3365733516273256e+19,63.6951726043177,
