target,scheme,segment,model_scope,retrain_time,event_type,feature,importance
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,month,0.06815535575151443
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,is_holiday,0.12718512117862701
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,is_workday,0.10450118035078049
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,is_makeup_workday,0.0
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,before_holiday_1d,0.04102451726794243
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-02,daily_retrain,after_holiday_1d,0.06988740712404251
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,lag_1,0.03030785731971264
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,lag_7,0.030998816713690758
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,lag_14,0.04368608072400093
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,lag_28,0.03644026070833206
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,roll_mean_3,0.04472694918513298
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,roll_mean_7,0.05982660874724388
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,roll_mean_14,0.052200041711330414
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,roll_std_7,0.04247549921274185
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,diff_1,0.0
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,diff_7,0.07074210792779922
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,dayofweek,0.05998842418193817
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,is_weekend,0.1910090446472168
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,month,0.04628545045852661
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,is_holiday,0.08884768933057785
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,is_workday,0.07173129916191101
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,is_makeup_workday,0.03048996441066265
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,before_holiday_1d,0.03193800896406174
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,global_model,2026-01-05,daily_retrain,after_holiday_1d,0.06830589473247528
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,lag_1,0.01896236464381218
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,lag_7,0.03856191039085388
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,lag_14,0.10899027436971664
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,lag_28,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,roll_mean_3,0.04037148132920265
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,roll_mean_7,0.07752364873886108
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,roll_mean_14,0.15403670072555542
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,roll_std_7,0.11799943447113037
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,diff_1,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,diff_7,0.13555730879306793
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,dayofweek,0.05129652097821236
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,is_weekend,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,month,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,is_holiday,0.20718294382095337
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,is_workday,0.0068955267779529095
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,is_makeup_workday,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,before_holiday_1d,0.03632513806223869
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-01-31,daily_retrain,after_holiday_1d,0.0062967389822006226
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,lag_1,0.01826312579214573
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,lag_7,0.031537462025880814
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,lag_14,0.10438051074743271
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,lag_28,0.01803705282509327
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,roll_mean_3,0.03855056315660477
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,roll_mean_7,0.06890410929918289
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,roll_mean_14,0.1403997242450714
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,roll_std_7,0.10265552997589111
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,diff_1,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,diff_7,0.10624034702777863
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,dayofweek,0.050475068390369415
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,is_weekend,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,month,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,is_holiday,0.22659222781658173
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,is_workday,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,is_makeup_workday,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,before_holiday_1d,0.03367840126156807
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-03,daily_retrain,after_holiday_1d,0.06028592213988304
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,lag_1,0.01684560254216194
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,lag_7,0.02097727544605732
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,lag_14,0.05102941021323204
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,lag_28,0.07086263597011566
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,roll_mean_3,0.024052754044532776
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,roll_mean_7,0.10702862590551376
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,roll_mean_14,0.1864088475704193
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,roll_std_7,0.12762339413166046
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,diff_1,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,diff_7,0.06323760747909546
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,dayofweek,0.09902959316968918
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,is_weekend,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,month,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,is_holiday,0.17193594574928284
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,is_workday,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,is_makeup_workday,0.0
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,before_holiday_1d,0.010640159249305725
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-06,daily_retrain,after_holiday_1d,0.05032813176512718
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,lag_1,0.02845219522714615
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,lag_7,0.01870032399892807
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,lag_14,0.03414221107959747
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,lag_28,0.04477858915925026
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,roll_mean_3,0.1045667827129364
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,roll_mean_7,0.05662835016846657
spread_day_ahead_price,xgb_oof_train_spread,all,global_model,2025-02-10,daily_retrain,roll_mean_14,0.0886920690536499
