target,scheme,week_cutoff_time,week_end_time,segment,train_rows
day_ahead_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18,flat,4500
day_ahead_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18,peak,3500
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,valley,4224
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,flat,4752
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25,peak,3696
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,valley,4448
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,flat,5004
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02,peak,3892
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,valley,4672
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,flat,5256
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09,peak,4088
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,valley,4896
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,flat,5508
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16,peak,4284
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,valley,5120
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,flat,5760
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23,peak,4480
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,valley,5344
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,flat,6012
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30,peak,4676
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,valley,5568
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,flat,6264
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06,peak,4872
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,valley,5792
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,flat,6516
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13,peak,5068
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,valley,6016
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,flat,6768
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20,peak,5264
