segment,selected_model,selected_MAE,selected_RMSE,MAE,RMSE,MAPE_pct,sMAPE_pct,sMAPE
valley,xgb_chronos_residual,18.948650135993958,21.810578421409158,18.948650135993958,21.810578421409158,7.49365326471639,7.124548459477131,0.9250634673528361
flat,,,,,,,,
peak,,,,,,,,
