model,MAE,RMSE,MAPE_pct,sMAPE_pct
xgb_chronos_residual,35.820472870543604,37.48203446821886,15.063947145578588,13.880882462062305
hybrid_segment_best_mae,35.820472870543604,37.48203446821886,15.063947145578588,13.880882462062305
xgb_only,43.054783287048345,45.6435002564105,18.210590181007216,16.464454312526637
chronos_xgb_residual,49.3689475993719,50.50553598005427,20.650602436467558,18.588794038324618
chronos_only,54.542302551269536,55.520743491670395,22.777966321994185,20.32252118315874
