target,scheme,week_cutoff_time,week_end_time,segment,train_rows
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,flat,3636
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,peak,2828
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,valley,3392
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,flat,3816
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,peak,2968
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,valley,3616
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,flat,4068
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,peak,3164
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,valley,3840
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,flat,4320
real_time_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,peak,3360
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,valley,4064
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,flat,4572
real_time_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,peak,3556
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,valley,4288
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,flat,4824
real_time_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,peak,3752
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,valley,4512
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,flat,5076
real_time_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,peak,3948
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,valley,4736
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,flat,5328
real_time_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,peak,4144
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,valley,4960
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,flat,5580
real_time_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,peak,4340
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,valley,5184
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,flat,5832
real_time_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,peak,4536
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,valley,5408
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,flat,6084
real_time_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,peak,4732
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,valley,5632
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,flat,6336
real_time_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,peak,4928
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,valley,5856
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,flat,6588
real_time_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,peak,5124
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,valley,6080
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,flat,6840
real_time_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,peak,5320
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,valley,6304
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,flat,7092
real_time_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,peak,5516
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,valley,6528
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,flat,7344
real_time_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,peak,5712
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,valley,6752
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,flat,7596
real_time_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,peak,5908
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,valley,6976
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,flat,7848
real_time_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,peak,6104
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,valley,7200
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,flat,8100
real_time_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,peak,6300
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,valley,7424
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,flat,8352
real_time_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,peak,6496
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,valley,7584
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,flat,8532
real_time_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,peak,6636
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,valley,7776
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,flat,8748
real_time_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,peak,6804
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,valley,7904
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,flat,8892
real_time_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,peak,6916
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,valley,8096
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,flat,9108
real_time_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12 00:00:00,peak,7084
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,valley,8288
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,flat,9324
real_time_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19 00:00:00,peak,7252
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,valley,8448
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,flat,9504
real_time_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26 00:00:00,peak,7392
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,valley,8576
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,flat,9648
real_time_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03 00:00:00,peak,7504
real_time_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10 00:00:00,valley,8704
