segment,selected_model,selected_MAE,selected_RMSE,MAE,RMSE,MAPE_pct,sMAPE_pct
valley,xgb_chronos_residual,35.43549176962145,37.10332730917121,35.43549176962145,37.10332730917121,14.924584518485759,13.75860594316792
flat,xgb_chronos_residual,47.754886999130235,47.754886999130235,47.754886999130235,47.754886999130235,19.38418858545634,17.671454547788112
peak,,,,,,,
