model,MAE,RMSE,MAPE_pct,sMAPE_pct
xgb_chronos_residual,91.63272603034974,132.43543119115787,1.3365733516273256e+19,63.6951726043177
hybrid_segment_best_mae,91.63272603034974,132.43543119115787,1.3365733516273256e+19,63.6951726043177
chronos_xgb_residual,114.31730786359404,154.94741543992805,1.554508540196946e+19,69.04090263369616
chronos_only,115.83031822204589,154.66880797701097,1.5522052395184947e+19,69.65445246399437
xgb_only,138.47356678009032,171.02595891214494,1.6282712792891392e+19,76.21248354847584
