target,scheme,week_cutoff_time,week_end_time,segment,train_rows,event_type
day_ahead_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14 00:00:00,peak,2772,weekly
day_ahead_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,valley,3232,weekly
day_ahead_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,flat,3636,weekly
day_ahead_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,peak,2828,weekly
day_ahead_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,valley,3456,weekly
day_ahead_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,flat,3888,weekly
day_ahead_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,peak,3024,weekly
day_ahead_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,valley,3616,weekly
day_ahead_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,flat,4068,weekly
day_ahead_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,peak,3164,weekly
day_ahead_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,valley,3776,weekly
day_ahead_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,flat,4248,weekly
day_ahead_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,peak,3304,weekly
day_ahead_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,valley,4000,weekly
day_ahead_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,flat,4500,weekly
day_ahead_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,peak,3500,weekly
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,valley,4224,weekly
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,flat,4752,weekly
day_ahead_price,xgb_oof_train,2025-06-18 00:15:00,2025-06-25 00:00:00,peak,3696,weekly
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,valley,4448,weekly
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,flat,5004,weekly
day_ahead_price,xgb_oof_train,2025-06-25 00:15:00,2025-07-02 00:00:00,peak,3892,weekly
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,valley,4672,weekly
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,flat,5256,weekly
day_ahead_price,xgb_oof_train,2025-07-02 00:15:00,2025-07-09 00:00:00,peak,4088,weekly
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,valley,4896,weekly
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,flat,5508,weekly
day_ahead_price,xgb_oof_train,2025-07-09 00:15:00,2025-07-16 00:00:00,peak,4284,weekly
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,valley,5120,weekly
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,flat,5760,weekly
day_ahead_price,xgb_oof_train,2025-07-16 00:15:00,2025-07-23 00:00:00,peak,4480,weekly
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,valley,5344,weekly
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,flat,6012,weekly
day_ahead_price,xgb_oof_train,2025-07-23 00:15:00,2025-07-30 00:00:00,peak,4676,weekly
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,valley,5568,weekly
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,flat,6264,weekly
day_ahead_price,xgb_oof_train,2025-07-30 00:15:00,2025-08-06 00:00:00,peak,4872,weekly
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,valley,5792,weekly
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,flat,6516,weekly
day_ahead_price,xgb_oof_train,2025-08-06 00:15:00,2025-08-13 00:00:00,peak,5068,weekly
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,valley,6016,weekly
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,flat,6768,weekly
day_ahead_price,xgb_oof_train,2025-08-13 00:15:00,2025-08-20 00:00:00,peak,5264,weekly
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,valley,6240,weekly
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,flat,7020,weekly
day_ahead_price,xgb_oof_train,2025-08-20 00:15:00,2025-08-27 00:00:00,peak,5460,weekly
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,valley,6464,weekly
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,flat,7272,weekly
day_ahead_price,xgb_oof_train,2025-08-27 00:15:00,2025-09-03 00:00:00,peak,5656,weekly
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,valley,6688,weekly
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,flat,7524,weekly
day_ahead_price,xgb_oof_train,2025-09-03 00:15:00,2025-09-10 00:00:00,peak,5852,weekly
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,valley,6912,weekly
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,flat,7776,weekly
day_ahead_price,xgb_oof_train,2025-09-10 00:15:00,2025-09-17 00:00:00,peak,6048,weekly
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,valley,7136,weekly
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,flat,8028,weekly
day_ahead_price,xgb_oof_train,2025-09-17 00:15:00,2025-09-24 00:00:00,peak,6244,weekly
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,valley,7360,weekly
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,flat,8280,weekly
day_ahead_price,xgb_oof_train,2025-09-24 00:15:00,2025-10-01 00:00:00,peak,6440,weekly
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,valley,7584,weekly
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,flat,8532,weekly
day_ahead_price,xgb_oof_train,2025-10-01 00:15:00,2025-10-08 00:00:00,peak,6636,weekly
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,valley,7808,weekly
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,flat,8784,weekly
day_ahead_price,xgb_oof_train,2025-10-08 00:15:00,2025-10-15 00:00:00,peak,6832,weekly
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,valley,8032,weekly
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,flat,9036,weekly
day_ahead_price,xgb_oof_train,2025-10-15 00:15:00,2025-10-22 00:00:00,peak,7028,weekly
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,valley,8224,weekly
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,flat,9252,weekly
day_ahead_price,xgb_oof_train,2025-10-22 00:15:00,2025-10-29 00:00:00,peak,7196,weekly
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,valley,8384,weekly
day_ahead_price,xgb_oof_train,2025-10-29 00:15:00,2025-11-05 00:00:00,flat,9432,weekly
