model,MAE,RMSE,MAPE_pct,sMAPE_pct,sMAPE,direction_acc
xgb_only_spread,44.75931240990045,56.096770274648115,343.21350694003047,122.67596039532629,0.2935784846728411,0.6666666666666666
xgb_chronos_residual_spread,81.21901570638022,93.09715595673168,549.0492005889926,191.5934918551802,0.0,0.3333333333333333
chronos_xgb_residual_spread,83.08151716868083,93.35232769128491,481.58241562582117,190.04596284833494,0.0,0.3333333333333333
hybrid_spread,83.08151716868083,93.35232769128491,481.58241562582117,190.04596284833494,0.0,0.3333333333333333
chronos_only_spread,85.96295669555666,96.33542961551731,603.6440756303854,192.28337841361244,0.0,0.3333333333333333
